"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Isaiah Canaan",132,83,29.4,4.8,10.7,0.45,2.5,5.2,0.483,2.3,5.5,0.419,3.6,4.5,0.803,0.6,2.2,2.8,2.9,1.2,0.1,2.4,1.8,15.5,-3.55,0
"Derrick Caracter",79,36,19.7,4,7.1,0.563,3.9,6.9,0.57,0.1,0.2,0.313,2.2,3.6,0.628,2.4,3.2,5.6,0.6,0.7,0.8,2.2,3.1,10.3,5.88,0
"Brian Cardinal",132,125,28,3.8,8.1,0.461,2.8,5.4,0.508,1,2.7,0.365,3.5,4.6,0.761,NA,NA,5.7,2.1,2,0.3,1.9,3.1,12,10.03,0
"Geno Carlisle",108,95,33.3,5.3,13.4,0.396,3.5,8.2,0.428,1.8,5.2,0.346,3.8,5,0.766,NA,NA,2.7,3.3,0.8,0.2,2.6,1.6,16.3,6.97,0
"Rick Carlisle",123,94,28.7,4.9,9.1,0.532,NA,NA,0.506,NA,NA,0.667,2.8,3.4,0.801,NA,NA,3.3,3.6,0.5,0.1,1.4,2.2,12.5,2.65,0
"Rodney Carney",133,101,27.6,5,11.9,0.415,2.8,6,0.468,2.2,6,0.362,2.2,3.1,0.717,1.5,3.4,4.9,1.2,1,1,1.4,2.1,14.3,5.22,0
"Antoine Carr",112,79,30,6.8,12.2,0.557,NA,NA,0.575,NA,NA,0.6,3.4,4.6,0.746,NA,NA,6.9,2.2,0.9,1.9,2.2,3.4,17.1,2.35,0
"Austin Carr",74,NA,NA,13.7,26,0.528,NA,NA,NA,NA,NA,NA,7.1,8.7,0.814,NA,NA,7.3,NA,NA,NA,NA,1.7,34.6,4.43,1
"Chris Carr",93,62,25.5,4.9,9.8,0.503,4.2,7.9,0.539,0.7,1.9,0.358,2.9,3.8,0.761,NA,NA,5.8,1.5,1,0.7,2,2.5,13.5,1.95,0
"Cory Carr",115,58,27.1,5.5,12.8,0.428,3.2,6.6,0.486,2.3,6.2,0.366,3.3,4.2,0.797,NA,NA,3.6,1.9,0.7,0.2,2.1,1.9,16.6,4.02,0
"Kenny Carr",86,NA,NA,8.3,16,0.516,NA,NA,NA,NA,NA,NA,4.1,6,0.681,NA,NA,9.2,1.9,1.5,1.3,4.1,3.4,20.6,7.17,0
"Bob Carrington",94,NA,NA,8.3,16,0.517,NA,NA,NA,NA,NA,NA,3.1,4.6,0.672,NA,NA,5.5,2.3,NA,NA,NA,2.7,19.7,-1.25,0
"DeMarre Carroll",134,89,24.5,4.5,8.4,0.535,4.3,7.6,0.559,0.2,0.7,0.281,2.1,3.5,0.603,2.4,3.6,6,1.6,1.1,0.4,1.3,2.3,11.2,7.12,0
