"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Mike Dunleavy",111,NA,33.9,5.5,11.4,0.484,NA,NA,NA,NA,NA,NA,3.2,4,0.798,NA,NA,3.1,3.3,NA,0.1,NA,2.5,14.3,2.55,0
"Mike Dunleavy",111,NA,33.9,5.5,11.4,0.484,NA,NA,NA,NA,NA,NA,3.2,4,0.798,NA,NA,3.1,3.3,NA,0.1,NA,2.5,14.3,2.55,0
"Kris Dunn",95,83,31.5,4.5,9.9,0.45,3.7,7.8,0.476,0.8,2.2,0.354,3.1,4.5,0.693,1.1,4,5.1,5.8,2.2,0.4,3.3,2.9,12.8,8.09,0
"Ronald Dupree",129,94,28.8,5.2,10.7,0.483,4.6,8.9,0.519,0.5,1.7,0.3,2.6,4,0.638,2.4,4.6,7,1.6,0.8,0.4,2.2,2.5,13.4,6.52,0
"Kevin Durant",35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6,7.3,0.816,3,8.1,11.1,1.3,1.9,1.9,2.8,2,25.8,6.12,1
"John Duren",118,32,35.3,5.5,11.4,0.48,NA,NA,NA,NA,NA,NA,2.5,3.3,0.758,NA,NA,3.2,4.9,1.7,0.1,3,1.9,13.4,2.03,0
"Pat Durham",125,50,32.8,5.6,11,0.515,NA,NA,0.527,NA,NA,0.111,4.6,6.5,0.697,NA,NA,6.8,1.5,1,1.4,2.5,2.5,15.8,3.38,0
"Devin Durrant",117,NA,33.8,7.1,13.1,0.545,NA,NA,NA,NA,NA,NA,5.3,7,0.757,NA,NA,5.5,2.3,0.7,0.4,2.9,2.8,19.5,3.68,0
"Craig Dykema",59,NA,28.2,4.2,8,0.525,NA,NA,NA,NA,NA,NA,2.4,3,0.804,NA,NA,4.6,2.2,NA,NA,NA,3,10.8,1.97,0
"Jerome Dyson",113,106,30.4,4.6,11.9,0.39,3.4,8.1,0.423,1.2,3.8,0.318,4,5.4,0.735,1.1,2.8,3.9,2.9,1.7,0.5,2.8,2.6,14.4,7.64,0
"Ledell Eackles",59,27,31.9,8.5,17.6,0.482,6.9,13.2,0.524,1.5,4.3,0.352,4.6,5.9,0.776,NA,NA,4.5,1.6,0.9,0.2,2.9,1.8,23,-0.97,0
"Acie Earl",116,86,27.6,5.5,10.9,0.508,5.5,10.8,0.509,0,0.1,0.286,4.3,6.3,0.68,NA,NA,7,1.2,1,3.1,2.9,2.4,15.3,9.03,0
"Cleanthony Early",75,58,26.2,4.9,10.5,0.47,3.4,6.2,0.555,1.5,4.3,0.348,3.7,4.6,0.819,1.8,3.8,5.7,0.7,0.8,0.8,1.7,2.4,15.1,3.91,0
"Mark Eaton",30,0,6.5,0.7,1.6,0.449,NA,NA,NA,NA,NA,NA,0.3,0.7,0.409,NA,NA,2.4,0.1,0.1,0.9,0.6,1.3,1.8,5.53,1
"Jerry Eaves",129,33,25.4,3.6,7,0.505,NA,NA,NA,NA,NA,NA,2.6,3.6,0.714,NA,NA,1.8,2.6,1,0,2.1,1.7,9.7,4.84,0
"Devin Ebanks",69,65,32.1,4,8.6,0.463,3.9,7.6,0.51,0.1,1,0.114,3.1,4.2,0.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,9.3,0
"Jarell Eddie",123,90,25.8,3.1,8.1,0.385,1.6,3.8,0.407,1.6,4.3,0.365,1.8,2.2,0.812,0.8,3.8,4.6,1.1,0.3,0.5,1.5,2,9.6,6.21,0
"Patrick Eddie",83,23,15,2.4,5.4,0.443,2.4,5.4,0.442,0,0,1,1.1,1.9,0.578,NA,NA,4.3,0.4,0.6,1,NA,2.3,6,3.56,0
"Kenton Edelin",97,14,17.6,1.3,2.1,0.627,NA,NA,0.482,NA,NA,1,0.7,1.4,0.471,NA,NA,4.6,0.8,0.5,0.6,1,2.9,3.3,8.44,0
"Keith Edmonson",131,96,27.3,5.2,9.8,0.529,NA,NA,NA,NA,NA,NA,2.7,3.6,0.756,NA,NA,3.4,1.6,0.6,0.2,NA,2,13.1,8.36,0
"Tyus Edney",125,97,29.3,3.9,8.1,0.481,3.1,6,0.513,0.8,2,0.383,3.6,4.5,0.805,NA,NA,3,5.2,1.8,0.1,2.7,2.2,12.1,8.92,0
"Bill Edwards",114,58,31.9,7.6,14.8,0.51,6.5,11.9,0.547,1.1,2.9,0.361,4,5.4,0.741,NA,NA,8,1.7,1.4,0.7,NA,NA,20.2,-6.22,0
"Blue Edwards",57,55,32.7,8.2,14.7,0.555,7.7,13.8,0.561,0.5,1,0.473,3.8,5.1,0.75,NA,NA,6.3,2.5,1.5,0.5,2.9,3.6,20.6,-2.19,0
"Corsley Edwards",123,86,27.6,5.3,10.4,0.509,5.3,10.4,0.51,0,0,0,3.5,5,0.688,3.4,4.5,7.9,0.8,0.9,1.6,2.1,2.8,14.1,-9.87,0
"Doug Edwards",93,93,34.5,6.7,12.8,0.52,6.4,11.6,0.547,0.3,1.2,0.263,3.6,4.9,0.725,NA,NA,8.5,2.5,1.3,1.3,2.8,3.2,17.2,8.55,0
"Franklin Edwards",102,NA,37.2,8.9,17.7,0.501,NA,NA,NA,NA,NA,NA,4.1,5.1,0.813,NA,NA,3,4.5,2,0.2,4.3,1.8,21.9,-5.53,0
"James Edwards",106,NA,29.7,5.9,11.5,0.509,NA,NA,NA,NA,NA,NA,2.9,4.8,0.598,NA,NA,7.5,NA,NA,NA,NA,3.5,14.6,5.2,0
"Jay Edwards",57,48,30.2,5.8,12.6,0.465,3.4,7.5,0.454,2.5,5.1,0.481,4.1,4.8,0.847,NA,NA,3.5,3.5,1,0.6,2.6,2.6,18.2,11.25,0
"John Edwards",129,40,15.3,2.6,4.6,0.556,2.6,4.6,0.556,0,0,NA,1.2,1.9,0.649,1.1,2.3,3.4,0.2,0.2,1.4,0.9,2.4,6.3,1.22,0
"Kevin Edwards",61,59,33.8,6.6,12.4,0.534,6,10.9,0.547,0.7,1.5,0.446,2.4,3,0.793,NA,NA,5.1,3.5,2.2,0.4,1.9,1.9,16.3,2.94,0
"Shane Edwards",62,52,22.8,3.2,6.9,0.472,2.8,5.4,0.521,0.5,1.5,0.298,2.1,3.2,0.642,1.6,3,4.7,1,0.8,0.6,1.7,2.5,9,-3.99,0
"Craig Ehlo",60,28,25.1,3.4,6.4,0.526,NA,NA,NA,NA,NA,NA,1.8,2.9,0.621,NA,NA,2.7,3.2,1.5,0.4,2.8,2.6,8.5,5.26,0
"Howard Eisley",126,64,35.3,4.2,9.5,0.444,2.6,6,0.443,1.6,3.5,0.447,3,3.8,0.784,NA,NA,3.3,4.3,1.5,0.1,2.9,2.8,12.9,7.71,0
"Obinna Ekezie",118,105,24,3.5,6.9,0.501,3.5,6.9,0.502,0,0,0,3,4.6,0.654,NA,NA,5.7,0.9,0.6,1.1,2,3,9.9,10.04,0
"Khalid El-Amin",108,106,30.1,5.4,12.9,0.416,3.6,7.8,0.456,1.8,5.1,0.355,2.7,3.3,0.822,NA,NA,3,4.4,1.7,0.1,2.7,2.1,15.3,8.09,0
"Henry Ellenson",33,33,33.5,5.9,13.2,0.446,5,10,0.495,0.9,3.2,0.288,4.3,5.8,0.749,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17,5.57,0
"Wayne Ellington",115,112,28.5,5.4,11.6,0.463,3.4,6.6,0.513,2,5,0.397,2,2.5,0.809,1.1,3,4.1,2.2,0.9,0.1,1.5,1.5,14.7,8.59,0
"Bob Elliott",114,NA,29.6,7.1,13.3,0.534,NA,NA,NA,NA,NA,NA,4.5,6.7,0.671,NA,NA,9.5,0.5,0.9,0.7,NA,2.7,18.7,4.07,0
"Sean Elliott",133,133,33.8,6.7,13.2,0.512,NA,NA,0.548,NA,NA,0.428,4.7,5.9,0.793,NA,NA,6.1,3.4,0.8,0.3,2.8,1.8,19.2,7.37,1
"Dale Ellis",118,96,33.4,7.1,11.9,0.595,NA,NA,NA,NA,NA,NA,3.4,4.4,0.765,NA,NA,5.8,0.9,1.3,0.3,2.1,2.7,17.5,8.15,1
"LaPhonso Ellis",97,25,33.2,6.1,10.5,0.577,5.9,10.1,0.581,0.2,0.3,0.455,3.3,4.8,0.675,NA,NA,11.1,1.5,0.9,2.1,NA,3.3,15.5,8.55,0
"LeRon Ellis",124,98,24.2,3.8,7.6,0.497,3.7,7.5,0.502,0,0.2,0.286,1.9,3.1,0.615,NA,NA,5.1,1.2,1.2,1.3,1.2,2.9,9.5,8.37,0
"Pervis Ellison",136,135,31.9,6.3,10.9,0.577,NA,NA,0.585,NA,NA,0.333,3.1,4.6,0.687,NA,NA,8.4,2.4,1.3,2.8,2.3,3,15.8,9.28,0
"Len Elmore",86,NA,NA,4.7,9.7,0.488,NA,NA,NA,NA,NA,NA,2.3,3.2,0.723,NA,NA,12.2,1.4,NA,NA,NA,2.4,11.8,5.3,0
"Francisco Elson",58,42,19.1,2.3,4.8,0.477,2.3,4.8,0.477,0,0,NA,0.9,1.7,0.51,NA,NA,5,0.5,0.8,1.2,1.2,2.9,5.5,7.89,0
"Melvin Ely",124,92,32.5,6.4,11,0.577,6.4,11,0.578,0,0,0.333,3,4.6,0.648,2.8,4.6,7.5,1.1,0.8,2.9,2.4,2.8,15.7,4.36,0
"Joel Embiid",28,20,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0,0.2,0.2,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,11.4,1
"Andre Emmett",128,97,32.3,6.9,13.8,0.5,6.5,12.4,0.52,0.4,1.4,0.312,3.4,4.9,0.703,2.1,3.9,6,1.6,1.3,0.3,1.9,1.3,17.6,7.3,0
"Chris Engler",76,NA,25.4,3.2,6,0.541,NA,NA,NA,NA,NA,NA,1.2,1.7,0.727,NA,NA,4.8,0.8,NA,NA,NA,2.8,7.7,6.42,0
"Wayne Englestad",118,96,24.7,4.9,9.7,0.501,NA,NA,0.532,NA,NA,0.407,2.9,4.1,0.702,NA,NA,5.9,1.2,0.5,0.2,NA,NA,13,3.08,0
"Alex English",111,NA,37.1,7.7,14.3,0.538,NA,NA,NA,NA,NA,NA,2.4,3.5,0.667,NA,NA,9.6,1,NA,2,NA,2.7,17.8,2.55,1
"Kim English",141,106,24.2,3.7,8.7,0.42,2,4.4,0.444,1.7,4.3,0.394,2.1,2.9,0.727,0.7,2.4,3,1.4,1.1,0.2,1.7,1.8,11.1,6.32,0
"Tyler Ennis",34,34,35.7,4.4,10.6,0.411,3.5,8.1,0.429,0.9,2.5,0.353,3.4,4.4,0.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2,12.9,7.25,0
"Julius Erving",52,NA,38.4,10.1,20.7,0.487,NA,NA,NA,NA,NA,NA,6.2,8.4,0.739,NA,NA,20.2,3.6,NA,NA,NA,2.5,26.3,-9.71,1
"Evan Eschmeyer",112,97,30.8,5.5,9.3,0.595,5.5,9.3,0.595,0,0,NA,5,7.7,0.655,NA,NA,8.9,1.8,0.8,1.2,2.8,3.3,16.1,7.16,0
"Brian Evans",124,88,29.1,4.6,10.2,0.449,3.1,6.5,0.473,1.5,3.7,0.408,3.1,3.8,0.8,NA,NA,6,2.7,0.8,0.4,1.8,1.9,13.7,10.79,0
"Earl Evans",99,NA,28.8,5.4,10.9,0.489,NA,NA,NA,NA,NA,NA,2.5,3.5,0.708,NA,NA,7.2,NA,0.9,NA,3,2.9,13.2,4.2,0
"Jawun Evans",54,52,29.1,5.7,12.7,0.448,4.7,10.2,0.458,1,2.5,0.407,4.2,5.1,0.818,0.6,3.2,3.8,5.8,1.5,0.1,2.7,2.4,16.6,10.51,0
"Jeremy Evans",134,130,23.5,3.2,5,0.639,3.1,4.7,0.654,0.1,0.2,0.364,1.5,2.2,0.684,2.4,3.5,5.9,0.5,0.6,1.7,1,2.4,7.9,-1.72,0
"Maurice Evans",93,80,30,5.6,13,0.432,3.4,7.2,0.472,2.2,5.7,0.382,3.1,4.2,0.752,NA,NA,4.8,1.4,1,0.6,2.3,2.9,16.5,4.7,0
"Mike Evans",117,NA,NA,7.6,15.5,0.492,NA,NA,NA,NA,NA,NA,2.9,3.7,0.783,NA,NA,3.4,3,NA,NA,NA,2.1,18.1,3.58,0
"Reggie Evans",69,66,34.4,4.7,9.7,0.486,4.7,9.6,0.486,0,0,0.5,5.9,9.4,0.625,3.8,7.7,11.5,1.4,1.2,0.6,3.3,3,15.3,9.31,0
"Tyreke Evans",37,35,29,6.2,13.6,0.455,5.3,10.3,0.514,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,4.63,0
"Daniel Ewing",138,79,27.7,3.9,9,0.432,2.3,5,0.464,1.6,4,0.392,2.2,2.9,0.746,0.8,1.9,2.8,2.1,1.4,0.2,1.9,2.6,11.6,9.61,0
"Patrick Ewing",143,138,30.8,6,9.7,0.62,NA,NA,NA,NA,NA,NA,3.3,5.2,0.635,NA,NA,9.2,0.9,1.2,3.4,2.3,3,15.3,5.83,1
"Patrick Ewing",143,138,30.8,6,9.7,0.62,NA,NA,NA,NA,NA,NA,3.3,5.2,0.635,NA,NA,9.2,0.9,1.2,3.4,2.3,3,15.3,5.83,1
"Festus Ezeli",121,67,17.9,2.7,4.9,0.562,2.7,4.9,0.562,0,0,NA,2.3,3.9,0.584,1.8,2.7,4.5,0.1,0.3,1.7,1.6,2.6,7.7,6.64,0
"Kenneth Faried",136,122,29.1,5.8,10.1,0.569,5.7,10,0.572,0,0.1,0.25,3.2,5.6,0.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8,-4.03,0
"Jordan Farmar",66,66,32.2,4.4,10.8,0.41,3,6.4,0.463,1.5,4.4,0.333,3,4,0.76,0.6,2.4,3,5.2,1.2,0.2,3.8,2.1,13.3,7.67,0
"Desmon Farmer",121,75,27,4.3,10.6,0.41,2.7,5.6,0.474,1.7,5,0.338,2.9,3.9,0.746,1.5,2.3,3.8,1.6,0.8,0.1,1.8,2.1,13.3,8.23,0
"Jim Farmer",111,76,26.5,4.1,8.6,0.473,NA,NA,0.488,NA,NA,0.387,2.3,2.9,0.785,NA,NA,3.5,1.7,0.8,0.1,1.6,2.5,10.8,8.3,0
"Tony Farmer",64,28,20.2,3.2,6.8,0.466,3.1,6.3,0.485,0.1,0.5,0.219,2.8,4.1,0.677,NA,NA,5.5,0.9,0.9,0.4,NA,2.9,9.2,6.39,0
"Derrick Favors",36,35,27.5,5,8.1,0.611,5,8.1,0.613,0,0,0,2.5,4,0.629,3,5.4,8.4,1,0.9,2.1,2.5,2.6,12.4,9.02,0
"Nick Fazekas",131,119,30.1,6.9,12.9,0.532,6,10.3,0.579,0.9,2.6,0.341,4.2,5.1,0.815,2.5,7.1,9.6,1.3,0.7,1.5,1.7,2,18.8,3.05,0
"Jamie Feick",106,31,22.8,2.5,5,0.502,2.3,4.4,0.532,0.2,0.6,0.294,1.4,2.4,0.577,NA,NA,6.7,1.2,0.6,0.4,1.3,1.8,6.6,8.92,0
"Dave Feitl",125,NA,25.2,4.3,8.7,0.501,NA,NA,NA,NA,NA,NA,2.8,3.9,0.731,NA,NA,5.8,1,0.3,1.1,1.7,2.9,11.5,1.95,0
"Carrick Felix",94,69,27.9,3.6,8,0.456,2.6,4.7,0.545,1.1,3.2,0.326,1.9,2.6,0.704,1.3,3.5,4.8,1.3,1,0.8,1.7,2.4,10.2,5.36,0
"Noel Felix",128,85,17.3,2.3,4.5,0.501,2.2,4.3,0.518,0.1,0.3,0.212,0.8,1.4,0.583,1.3,2.4,3.7,0.4,0.5,0.9,1.3,2.6,5.4,3.59,0
"Raymond Felton",101,100,33.9,4.1,9.7,0.423,2.4,5.1,0.467,1.7,4.6,0.375,2.6,3.5,0.731,0.7,3.4,4.1,6.9,1.9,0.3,3.6,2.3,12.5,11,0
"Eric Fernsten",82,NA,NA,3.4,7.3,0.47,NA,NA,NA,NA,NA,NA,1.5,2.4,0.653,NA,NA,9.4,1.1,NA,NA,NA,2.8,8.4,2.21,0
"Rolando Ferreira",61,30,30.9,5.2,10.3,0.508,5.2,10,0.519,0,0.3,0.158,1.9,2.7,0.709,NA,NA,6.2,1.2,1,1.6,1.5,2.5,12.5,3.55,0
"Duane Ferrell",127,122,31.3,5.7,10.6,0.537,NA,NA,0.533,NA,NA,0.345,2.9,4,0.733,NA,NA,5.4,2.3,0.9,0.4,2.3,2.5,14.3,8.89,0
"Danny Ferry",143,124,30.1,5.7,11.7,0.484,NA,NA,0.51,NA,NA,0.388,3,3.9,0.775,NA,NA,7,3.5,1.2,0.5,2.8,2.8,15.1,8.31,0
"Kenny Fields",109,96,31.2,6.3,11.6,0.544,NA,NA,NA,NA,NA,NA,2.4,3.6,0.673,NA,NA,6.1,0.8,1.2,0.5,1.6,2.4,15,5.37,0
"Landry Fields",129,65,23.6,3.9,8.4,0.463,3.1,6,0.51,0.8,2.3,0.342,2.3,3.3,0.676,1.6,3.5,5,1.6,0.9,0.4,1.5,1.6,10.8,7.35,0
"Michael Finley",115,112,34.3,6.4,14.6,0.44,4.6,9.1,0.501,1.9,5.5,0.338,4,5.2,0.769,NA,NA,5.6,3.2,1.5,0.7,2.8,2.5,18.7,7.86,1
"Dorian Finney-Smith",134,91,28.6,3.6,8.7,0.411,2.2,4.9,0.449,1.4,3.8,0.362,2.1,3.2,0.657,2.6,4.5,7.1,1.9,0.8,0.7,1.8,2.4,10.7,8.4,0
"Matt Fish",90,39,23.2,4.7,7.9,0.598,4.7,7.9,0.598,0,0,NA,1.9,3.3,0.59,NA,NA,6.8,0.9,0.8,1,2,3.4,11.4,-4.36,0
"Derek Fisher",112,104,32.6,3.9,9.3,0.414,2.7,6.4,0.429,1.1,2.9,0.38,3.6,4.8,0.747,NA,NA,4.4,4.2,1.6,0.1,2.4,2.6,12.4,-2.4,0
"Gerald Fitch",127,107,26.3,3.6,8,0.452,2.1,4.1,0.507,1.6,4,0.396,2.1,2.9,0.736,1.3,2.9,4.2,1.8,1.2,0.1,1.6,1.9,11,10.25,0
"Marcus Fizer",97,91,31.1,7.1,13.9,0.511,6.9,13.2,0.524,0.2,0.7,0.292,4.4,6.3,0.702,NA,NA,7.4,1,0.9,0.9,2.3,2.6,18.9,6.3,0
"Vern Fleming",125,95,34.6,5.6,11,0.508,NA,NA,NA,NA,NA,NA,3,4.3,0.705,NA,NA,3.8,3.2,1.6,0.1,2.5,2.6,14.2,7.96,0
"Luis Flores",119,89,30.7,5.7,12.7,0.451,4.3,9,0.48,1.4,3.7,0.379,5.3,6.1,0.87,1.2,2.5,3.7,1.9,1.5,0.2,2.5,2.1,18.2,-1.06,0
"Bruce Flowers",117,0,23.2,3.6,6.4,0.574,NA,NA,NA,NA,NA,NA,1.5,2.2,0.692,NA,NA,5.7,1.5,NA,NA,NA,3.2,8.8,4.86,0
"Sleepy Floyd",130,101,33.4,7,14.1,0.496,NA,NA,NA,NA,NA,NA,3.7,4.8,0.774,NA,NA,3.7,2.7,1.9,0.3,2.9,2,17.7,4.31,1
"Jonny Flynn",73,73,36.5,5.6,12.2,0.46,4.2,8.1,0.525,1.4,4.2,0.333,4,5.1,0.782,0.6,2.1,2.7,6,1.5,0.2,3.1,1.5,16.6,8.72,0
"Isaac Fontaine",120,73,31.2,5.8,11.8,0.487,4,8.1,0.501,1.7,3.8,0.457,3.4,4.4,0.775,NA,NA,4.1,2.2,1.3,0.4,NA,NA,16.7,7.5,0
"Jeff Foote",87,64,26.5,4.2,7.4,0.573,4.2,7.4,0.573,0,0,NA,2.6,4.3,0.603,2.1,5.2,7.3,2.1,0.4,1.8,2,2.6,11,-3.22,0
"Bryn Forbes",138,108,29.1,4.1,9.1,0.449,1.7,3.7,0.47,2.3,5.4,0.435,2.1,2.5,0.821,0.5,2,2.5,1.3,0.6,0.1,1.2,1.6,12.6,4.06,0
"Gary Forbes",129,80,27.3,4.5,10.7,0.426,3.6,7.4,0.481,1,3.2,0.299,2.7,4.1,0.653,1.5,3.9,5.5,2,0.9,0.7,2.3,2.3,12.7,6.25,0
"Alphonso Ford",109,27,32.8,10.3,22.7,0.454,7.2,13.6,0.531,3.1,9,0.338,5.4,7.1,0.763,NA,NA,5.4,2.7,2,0.3,2.8,2.8,29,-6.58,0
"Alton Ford",26,18,25.5,3.7,8.5,0.432,3.3,7.2,0.462,0.3,1.3,0.265,3.1,5.1,0.609,1.6,4.3,5.9,0.7,0.2,0.7,2.5,3.7,10.8,4.91,0
"Chris Ford",91,NA,NA,6.3,13.1,0.482,NA,NA,NA,NA,NA,NA,3.1,4.9,0.641,NA,NA,6,NA,NA,NA,NA,2.6,15.8,3.53,0
"Don Ford",53,NA,21.7,5.5,10.8,0.509,NA,NA,NA,NA,NA,NA,2.1,2.7,0.779,NA,NA,6.2,1.9,NA,NA,NA,2.8,13.1,2.34,0
"Phil Ford",123,NA,NA,7,13.3,0.527,NA,NA,NA,NA,NA,NA,4.6,5.6,0.808,NA,NA,2.1,6.1,1.8,0.1,NA,2.4,18.6,8.03,0
"Sharrod Ford",118,87,23.9,3.8,7.1,0.54,3.8,7,0.543,0,0,0,2.2,3.8,0.57,2.6,3.8,6.5,0.6,0.5,1.5,1.9,2.7,9.8,7.62,0
"Sherell Ford",88,88,34.2,9,18.6,0.482,7.8,15.3,0.512,1.2,3.3,0.347,3.8,5.3,0.704,NA,NA,9.2,1.3,1.7,1.9,2.7,2.9,22.9,-3.34,0
"Joseph Forte",69,66,33.9,6.9,15.3,0.454,5.3,10.9,0.489,1.6,4.4,0.368,3.2,4,0.81,1.4,4.3,5.8,3,1.8,0.4,2.4,2,18.7,11.79,0
"Courtney Fortson",47,46,33,5.3,13.4,0.397,4.1,9.6,0.431,1.2,3.8,0.311,4.1,6.1,0.677,1.6,3.8,5.4,5.9,1.2,0.1,4.7,2.7,16,4.49,0
"Danny Fortson",100,91,26.9,6.6,11.6,0.565,6.6,11.6,0.566,0,0,0,5.7,7.7,0.743,NA,NA,8.7,1.2,0.9,0.4,2.6,3.5,18.8,7.35,0
"Greg Foster",100,65,23,3.3,6.9,0.481,3.3,6.9,0.483,0,0,0,1.6,2.4,0.661,NA,NA,5.2,0.9,0.3,1,1.6,2.8,8.2,5.47,0
"Rod Foster",113,69,25.8,4.7,9,0.52,NA,NA,NA,NA,NA,NA,2.7,3.1,0.88,NA,NA,1.7,1.9,0.9,0.1,1.9,2.4,12.1,5.94,0
"Larry Foust",103,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,3.1,2.8,1.112,NA,NA,NA,NA,NA,NA,NA,1.2,14.2,0.87,1
"Calvin Fowler",73,NA,20.5,2.4,6.6,0.37,1.3,3.5,0.383,1.1,3.1,0.355,1.3,1.9,0.693,NA,NA,1.7,1.5,0.8,0.3,NA,NA,7.3,-12.34,0
"Tremaine Fowlkes",72,16,27.2,4.7,10.1,0.461,4.2,8.2,0.506,0.5,1.8,0.263,3.6,5.5,0.647,NA,NA,8.6,0.9,1.1,0.4,1.9,2.3,13.4,6.98,0
"Rick Fox",140,82,22.7,4.5,8.7,0.518,3.4,5.9,0.58,1.1,2.8,0.388,2,2.7,0.757,NA,NA,4.2,2.3,1.4,0.3,2.4,2.9,12.2,11.25,0
"Randy Foye",131,128,31.3,5.2,13.1,0.399,3.6,8.1,0.441,1.6,4.9,0.329,3,3.8,0.781,1.4,3.4,4.8,3.2,1.5,0.4,2.9,2.7,15,8.37,0
"Adonal Foyle",87,30,36.5,8.2,15,0.547,8.2,14.8,0.551,0,0.1,0.1,4,8.2,0.491,NA,NA,12.7,1.5,0.7,5.7,3.8,2.4,20.4,-5,0
"Richie Frahm",130,35,26.3,4.1,9.2,0.449,2,4.1,0.482,2.2,5.1,0.423,2.1,2.6,0.799,NA,NA,3.7,1.9,0.7,0.1,NA,NA,12.5,1.69,0
"Steve Francis",34,33,30.7,6,11.5,0.523,4.7,8.1,0.58,1.3,3.4,0.388,3.6,4.6,0.79,NA,NA,4.5,4.5,2.8,0.2,3,2.8,17,9.04,1
"Tellis Frank",122,79,24.3,4.3,8.9,0.483,NA,NA,0.518,NA,NA,NA,2.2,3.1,0.711,NA,NA,5.4,1.5,0.8,0.5,1.9,3,10.8,3.45,0
"Jamaal Franklin",85,54,25.9,4.3,10,0.426,3.1,6.2,0.504,1.2,3.8,0.302,4,5.1,0.78,1.5,5.5,7,1.9,1,0.6,2.6,2.1,13.7,5.43,0
"Tim Frazier",135,113,30.6,3.8,9,0.418,3.2,7.2,0.445,0.5,1.8,0.31,3.4,4.3,0.774,0.9,3,3.9,4.7,1.5,0.1,2.6,2.5,11.4,8.41,0
"Walt Frazier",50,NA,NA,7.1,15,0.471,NA,NA,NA,NA,NA,NA,3.6,4.7,0.751,NA,NA,10.5,NA,NA,NA,NA,2.6,17.7,NA,1
"Anthony Frederick",62,32,31.7,4.4,8.5,0.522,NA,NA,NA,NA,NA,NA,1.8,3.1,0.559,NA,NA,7,2,1.3,2.3,2.5,3.2,10.6,-1.03,0
"Jimmer Fredette",139,102,29.6,6,13.3,0.455,3.9,7.8,0.497,2.1,5.4,0.394,4.5,5.1,0.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,1.2,18.7,3.56,0
"Matt Freije",121,111,28.7,5.2,11.7,0.448,3.7,7.4,0.501,1.5,4.3,0.355,3.7,4.7,0.786,1.6,3.3,4.9,0.9,0.7,0.6,1.4,2.2,15.6,8.37,0
"Channing Frye",133,119,27.7,5.3,9.5,0.562,5.3,9.3,0.568,0,0.2,0.261,2.8,3.7,0.759,2.8,4.6,7.3,1.3,0.6,1.9,1.4,2.8,13.5,9.02,0
"Hiram Fuller",60,23,20.4,2.6,5.2,0.503,2.6,5,0.518,0,0.2,0.091,2.2,3.4,0.649,2.3,4.1,6.4,0.4,0.6,1,1.9,2.9,7.4,2.82,0
"Todd Fuller",115,89,27.4,5.1,10.2,0.498,4.9,9.7,0.508,0.1,0.5,0.309,3.5,4.3,0.8,NA,NA,7.7,1,0.3,1.3,1.5,1.7,13.8,8.65,0
"Tony Fuller",60,NA,32.6,6.4,12.1,0.523,NA,NA,NA,NA,NA,NA,3.7,4.8,0.766,NA,NA,5.7,NA,NA,NA,NA,NA,16.4,0.34,0
"Markelle Fultz",25,25,35.7,8.4,17.6,0.476,6.3,12.5,0.502,2.1,5,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,6.82,0
"Lawrence Funderburke",86,64,29.5,6,11.2,0.538,6,11.1,0.54,0,0.1,0.3,2.5,4,0.613,NA,NA,6.6,1,0.6,1.6,1.8,1.8,14.5,11.05,0
"Terry Furlow",100,74,NA,7.2,14.8,0.488,NA,NA,NA,NA,NA,NA,3.4,4.1,0.815,NA,NA,6.3,3.2,NA,NA,NA,2.1,17.8,6.33,0
"Dan Gadzuric",122,102,24.1,4.5,8.2,0.548,4.5,8.2,0.549,0,0,0,1.6,3.5,0.449,NA,NA,7.3,0.6,0.7,1.5,1.8,2.8,10.5,10.45,0
"Deng Gai",100,89,29.5,4.6,9.8,0.473,3.9,7.6,0.513,0.7,2.2,0.335,2.7,3.7,0.736,2,5,7,1,0.6,4.4,2.2,3,12.7,-2.74,0
"Corey Gaines",109,48,18.6,2.9,5.7,0.504,NA,NA,0.521,NA,NA,0.506,1.9,2.8,0.68,NA,NA,1.5,3.9,0.9,0.1,2.2,1.8,8,4.04,0
"Reece Gaines",125,123,31.6,5.1,11.2,0.452,3.3,6.5,0.502,1.8,4.7,0.383,3.6,4.9,0.75,0.7,2.7,3.4,3.8,1.5,0.2,2.7,2.5,15.6,7.91,0
